"X","name","url","rating","vote","phone","address","collection","cuisinetype","knownfor","orderwhat","cost","highlight","coordifinal","area"
1,"Punjab Grill ","https://www.zomato.com/bangalore/punjab-grill-koramangala",4,1809,"080 49652992"", ""080 49652992""","1, SJR Primus, Ground Floor, Opposite Forum Mall, 7th Block, Koramangala, BangaloreIndia    ","Great Buffets, Flavours of Punjab and The GC Collection ","North Indian","Serving rich North Indian food with a contemporary twist.            ","",999,"Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcoho","12.9343880000,77.6127590000"," Koramangala"
2,"Toit ","https://www.zomato.com/bangalore/toit-indiranagar",4.7,7282,"+91 9019713388 +91 9019813388"", ""+91 9019713388"", "" +91 9019813388""","298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, BangaloreIndia    ","Microbreweries, Gourmet Pizza, Cocktail Bars and The GC Collection ","Italian, American, Pizza","their wood fire pizzas            ","Tintin Toit, Chicken Piccata, Margherita Pizza, Crispy Chicken Wings, Toit Baked Nachos            ",800,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Wifi Available,Outdoor Seating,Nightlife,Microbrewery,Pu","12.9792138889,77.6408000000"," Indiranagar"
3,"The Bungalow ","https://www.zomato.com/bangalore/the-bungalow-whitefield",3.8,521,"080 49652787"", ""080 49652787""","95, EPIP Area , Opposite Vydehi Hospital, Whitefield, Bangalore 560066India    ","Sunday Brunches and Great Buffets ","Chinese, Thai, Continental, Pizza, North Indian","","",775,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditioned,Smoking Area,Live Sports Screenin","12.9758973695,77.7269890532"," Whitefield"
4,"Truffles ","https://www.zomato.com/bangalore/truffles-koramangala",4.6,6132,"080 49652818"", ""080 49652818""","28, 4th 'B' Cross, 5th Block, Koramangala, BangaloreIndia    ","Kickass Burgers, The GC Collection and Student Faves ","Cafe, American, Desserts","Their wide variety of burgers and desserts            ","All American Cheese Burger, Ferrero Rocher Shake            ",650,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditione","12.9333166667,77.6138166667"," Koramangala"
5,"Church Street Social ","https://www.zomato.com/ChurchStreetSocial",4.3,3954,"080 41713016 +91 9611218686"", ""080 41713016"", "" +91 9611218686""","46/1, Cobalt Building, Church Street, BangaloreIndia    ","Great Breakfasts and Cocktail Bars ","Continental, American, Cafe, Desserts, Mediterranean","Their Innovative drinks. A fusion of science and alcohol.            ","",400,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Wifi Available,Live Performances,Smoking Area,Nightlife,Live Sports Screenin","12.9756527778,77.6024944444"," Church Street"
6,"Onesta ","https://www.zomato.com/bangalore/onesta-koramangala",4.4,1439,"080 49653572"", ""080 49653572""","562, 8th Main, 4th Block, Koramangala, BangaloreIndia    ","Gourmet Pizza","Pizza, Cafe, Desserts","their unlimited pizzas and dessert combo            ","",450,"No Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Wheelchair Accessible,Air Conditioned,Outdoor Seating,Pet Friendl","12.9331190000,77.6273550000"," Koramangala"
7,"Big Brewsky ","https://www.zomato.com/bangalore/big-brewsky-sarjapur-road",4.1,1954,"080 49653450"", ""080 49653450""","Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, BangaloreIndia    ","Microbreweries","Finger Food, North Indian, Italian, Continental, Thai, South Indian","Their romantic ambience            ","",800,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Wifi Available,Live Performances,Outdoor Seating,Smoking Area,Nightlife,Microbrewer","12.9131972222,77.6832416667"," Sarjapur Road"
8,"Arbor Brewing Company ","https://www.zomato.com/ArborBrewIndia",4.5,4241,"+91 8050144477 080 67921222"", ""+91 8050144477"", "" 080 67921222""","8, 3rd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road, BangaloreIndia    ","Microbreweries, Gourmet Pizza and The GC Collection ","American, Continental","Their ambiance that screams wood, long tables, open space with a bit of industrial chic thrown in with the steel tanks            ","Phat Abbot, The Arbor-ger, Baked Mac & Cheese, Flaming Chicken            ",800,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Wheelchair Accessible,Air Conditioned,Wifi Available,Outdoor Seating,Nightlife,Microbrewery,Pu","12.9702020000,77.6110400000"," Brigade Road"
9,"Smally's Resto Cafe ","https://www.zomato.com/bangalore/smallys-resto-cafe-church-street",4,537,"080 49653401"", ""080 49653401""","1 A, Church Street, BangaloreIndia    ","Kickass Burgers","Cafe, Italian, American","","",850,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditione","12.9745861111,77.6072694444"," Church Street"
10,"AB's - Absolute Barbecues ","https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli",4.8,4688,"+91 8088922203"", ""+91 8088922203""","90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, BangaloreIndia    ","Meat Cravings and Great Buffets ","European, Mediterranean, North Indian","Variety of all kinds of meat.            ","",968,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditione","12.9495361111,77.6993861111"," Marathahalli"
11,"Fenny's Lounge And Kitchen ","https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala",4.4,3213,"080 41282428 +91 9036082911"", ""080 41282428"", "" +91 9036082911""","115, 3rd Floor, 7th Block, Opposte Raheja Arcade, Koramangala, BangaloreIndia    ","Rooftops, Gourmet Pizza and Cocktail Bars ","Mediterranean, Pizza, Continental, Seafood","Their open area and a decorated bar with bottles            ","Fenny's Vegetarian Sizzler, Lyonnaise Mushrooms, Onion Glazed Chicken            ",800,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Smoking Area,Nightlife,Live Sports Screenin","12.9350416667,77.6135111111"," Koramangala"
12,"Tim Tai ","https://www.zomato.com/bangalore/tim-tai-koramangala",4.5,1700,"080 49653423"", ""080 49653423""","130, 1st Cross, 5th Block, Koramangala, BangaloreIndia    ","Pan-Asian Delicacies","Chinese, Thai, Asian","Bright, cheerful ambiance and its Pan Asian delicacies.            ","Banana Leaf Wrapped Fish With Balinese Spices, Quick Fried Mix Vegetables With Ginger Wine Sauce, Thai Massaman Curry, Corn And Spinach Gau Dimsums, Tom Yum Soup            ",600,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditioned,Outdoor Seatin","12.9336050000,77.6224680000"," Koramangala"
13,"The Hole in the Wall Cafe ","https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala",4.2,3099,"080 40949490 +91 9945602562"", ""080 40949490"", "" +91 9945602562""","4, 8th Main Road, 4th Block, Koramangala, BangaloreIndia    ","Great Breakfasts","Cafe, American","Extensive breakfast Menu            ","",650,"No Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Wheelchair Accessible,Outdoor Seating,Breakfast,Meal Coupo","12.9345833333,77.6254805556"," Koramangala"
14,"Smoke House Deli ","https://www.zomato.com/bangalore/smoke-house-deli-indiranagar",4.3,2649,"080 25200899"", ""080 25200899""","1209, Opposite Staples, 100 Feet Road, Opposite Apollo Clinic, Indiranagar, BangaloreIndia    ","European & Mediterranean, Wine Bars and Cocktail Bars ","European, Italian, Desserts","White interiors, serving one of a kind European dishes.            ","",500,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Breakfas","12.9649770000,77.6414480000"," Indiranagar"
